Group_Start,Group_End,Event_Label,Feature_1
0,431,0,-0.16596559
431,862,3,-0.16422498
862,1293,3,-0.16110456
1293,1724,3,-0.16335607
1724,2155,1,-0.13084811
2155,2586,2,-0.1793882
2586,3017,0,-0.17111948
3017,3448,3,-0.1653299
3448,3879,3,-0.1642712
3879,4310,3,-0.1606721
4310,4741,0,-0.1672073
4741,5172,3,-0.16389447
5172,5603,3,-0.16081485
5603,6034,0,-0.16563049
6034,6465,3,-0.16379252
6465,6896,3,-0.16480225
6896,7327,3,-0.16422075
7327,7758,3,-0.15949991
7758,8189,0,-0.16703776
8189,8620,3,-0.16463879
8620,9051,3,-0.16420904
9051,9482,3,-0.16353899
9482,9913,3,-0.1641827
9913,10344,3,-0.16338447
